Code,GeoFips,state_code,state_abr,GeoName,CL_UNIT,UNIT_MULT,DataValue_1997,DataValue_1998,DataValue_1999,DataValue_2000,DataValue_2001,DataValue_2002,DataValue_2003,DataValue_2004,DataValue_2005,DataValue_2006,DataValue_2007,DataValue_2008,DataValue_2009,DataValue_2010,DataValue_2011,DataValue_2012,DataValue_2013,DataValue_2014,DataValue_2015,DataValue_2016,DataValue_2017,DataValue_2018,DataValue_2019,DataValue_2020,DataValue_2021,DataValue_2022,DataValue_2023,DataValue_2024
SAGDP2-4,1000,1,AL,Alabama,Millions of current dollars,6,1365.4,1453.5,1505.7,1329.2,1614,1218,1781.5,2451,2160,1550.8,1424.1,1381.7,1418.7,1382.8,1054.6,1259,2539.9,2043.5,2063.9,1435.5,1802.7,1811.6,1357.2,887.4,2188.2,3543,2456.7,3110.7
SAGDP2-4,2000,2,AK,Alaska,Millions of current dollars,6,25.3,25.1,25.7,29.6,28.4,28.1,19.6,20.6,20.6,18.3,16.9,14.4,16.4,15.6,15.6,20.4,19.3,23,22,23.5,14.7,15.1,13.8,12.5,18.9,21,21.1,21.6
SAGDP2-4,4000,4,AZ,Arizona,Millions of current dollars,6,1167.9,1270.9,1182.2,1224.3,1137.3,1213.6,1214.7,1788.6,1595.6,1298.7,1592.8,1119.1,835.5,1150.7,1861.3,1370.7,1883.6,1453.6,1536.9,1782.4,1748.6,1593.3,1664.5,1124.5,1270,2484.8,1982.2,1950.3
SAGDP2-4,5000,5,AR,Arkansas,Millions of current dollars,6,2376.8,1982.1,1882.1,1695.7,1933.3,1535.6,2244.4,3359.4,2412.3,2219.4,2564.1,2459.2,1751.2,1552.9,1715.7,2012.8,3364.2,2990.7,2213.2,1796.7,2329.4,2186.3,1208.6,1087.4,3095.7,4902,3736.2,5205.5
SAGDP2-4,6000,6,CA,California,Millions of current dollars,6,14234.1,12916.1,13254.4,13780.7,13549.5,14210.7,16050,19806,19745.4,17301.3,20923.7,18125,17596.8,20539.3,24141.1,25165.8,28826.8,30792,26979.3,25514.2,27139.1,26245.6,24085.5,24650.2,28862.5,33701.8,31338.9,35079
SAGDP2-4,8000,8,CO,Colorado,Millions of current dollars,6,1365.8,1417.7,1393.9,1342.6,1693.9,1369.7,1415.4,1891.7,1924.6,1750.3,2264.7,1946.1,1772,2000.9,2497.7,2242,2382.6,2382.8,2441.4,2265.8,1980.7,2088.2,2115.4,1552.9,2647.7,3034.8,2906,2303.3
SAGDP2-4,9000,9,CT,Connecticut,Millions of current dollars,6,235.8,256,261.1,308.3,283.6,255.9,272,320,310.1,283,317.4,320.1,293.8,315.5,324,358.1,427.3,338.4,351.6,289.1,327.7,313.8,299.2,260.7,334.6,470.9,370.2,326.8
SAGDP2-4,10000,10,DE,Delaware,Millions of current dollars,6,174,207.7,193.7,207.4,274.9,155,251,380.3,397.9,309.8,325.5,313.6,375.3,353.6,339.9,385.9,551.4,607,458.5,401.8,578,588.7,517.9,291.6,615.7,1099.4,733,957.3
SAGDP2-4,11000,11,DC,District of Columbia,Millions of current dollars,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGDP2-4,12000,12,FL,Florida,Millions of current dollars,6,3925.3,4421.7,4048.1,4247.7,4052.8,3964.4,4043.3,4239.9,4537.2,4434.9,4512.6,3923.6,3692.9,4423.1,4311.8,4772.4,4438,4447.2,4784.3,4090,4406.6,4121.4,3952.1,3583.7,4652.7,5285.5,5972,5007.5
SAGDP2-4,13000,13,GA,Georgia,Millions of current dollars,6,2575.5,2495.6,2387.5,2380.8,2628.1,1882.9,2529.8,3054.1,2992.3,2275.9,2693.8,2946.2,2649.8,2246.9,2616.7,3294,3497.4,3138.3,3392.4,2720,3270,3087.9,2535.3,1677.8,2949.3,5310.9,3582.6,5371.9
SAGDP2-4,15000,15,HI,Hawaii,Millions of current dollars,6,281.9,284.8,302.9,302.7,305.4,328,355.4,373.8,379,382.8,368.2,377,398.4,421.2,491.3,466.1,472.4,413.5,422.8,360.2,397.3,344,309.3,281.6,380.2,517.8,452.3,452.3
SAGDP2-4,16000,16,ID,Idaho,Millions of current dollars,6,1320.7,1424.3,1422.2,1465.6,1600.1,1624.5,1454.6,2171.5,1854.7,1853.9,2489,2525.4,1780.6,2192.9,2970.4,2995.1,3304,3424.9,3079.4,2955.8,2682.7,2992.2,3103.6,2972.1,3297.9,5037.7,4366,4250.7
SAGDP2-4,17000,17,IL,Illinois,Millions of current dollars,6,3494.4,2607.9,1452.2,1940.3,1862.7,2260.7,3148.8,4794,2283,3291.1,4767.2,6305.6,4503.5,4503.7,7466.1,5576.8,10545.9,7214.4,3961.7,5387.1,5414.7,5995.7,4342.6,5458.4,10841.8,13647.9,11173.8,10201.3
SAGDP2-4,18000,18,IN,Indiana,Millions of current dollars,6,2125,1543.6,937.6,1242.5,1391,1293.1,2080.8,3044,1857.7,2052.3,2822.2,3664.1,2811.6,2893.8,4355.2,3798.3,6963,4912.3,3259,3248.9,3426,3492.2,2587.3,3675.2,6367.8,8176.9,7139.6,6594.2
SAGDP2-4,19000,19,IA,Iowa,Millions of current dollars,6,5084.3,3435.4,2104.7,2735.6,2740.2,3591.9,3736.6,6634.1,4735.8,4637.4,6319.8,7413.3,5646.2,5995.8,10241.9,10033.8,12412.2,10624.5,8667.7,7110,7923.1,8339.9,6020.3,4743.9,12830.3,18782.3,13744.8,14015.9
SAGDP2-4,20000,20,KS,Kansas,Millions of current dollars,6,2620.6,2147.4,1729.1,1583,1872.4,1568,2598.6,2910.3,3070.3,2391.2,3221.9,3714.3,3692.4,4221.8,5839.5,5074.4,6967.8,4564.3,3765.1,4292.8,3588.3,3859.2,3204.8,4395.3,6420.4,6297.2,7772.6,6768.7
SAGDP2-4,21000,21,KY,Kentucky,Millions of current dollars,6,1794.9,1639,1339.9,1873.6,1587.9,1388.8,1499.7,2199.2,1901.2,2008.8,1717.5,1118.1,1483.4,1167.6,1760.8,1712.8,3485.7,2643.3,2439.2,1986.8,2462.3,2295,2257,1811.9,3327.2,4357.1,3562.9,3406.2
SAGDP2-4,22000,22,LA,Louisiana,Millions of current dollars,6,914.6,641.4,665.3,609.6,668.9,561.3,868.7,1061.3,901.1,974.6,1084.9,932.9,1077.4,1221.7,1324.7,1564.4,1888.9,1478.1,1085,998.1,1151.8,1107.8,1001.7,1093.4,1567.2,1526.8,1568.4,1801.8
SAGDP2-4,23000,23,ME,Maine,Millions of current dollars,6,199.9,273,278.7,302.8,293.4,247.4,260.4,306.4,293.4,303.5,329.8,342,316.7,397.8,404,413,421.1,353.6,358.3,294.3,309.1,307.5,351,295.9,426.5,590.7,411.2,477.1
SAGDP2-4,24000,24,MD,Maryland,Millions of current dollars,6,532.3,547.2,540.2,602.6,624.6,451.8,532.2,766.9,677.9,639.6,664.4,737.5,723.5,688,840.6,930.8,1147.6,985.1,826.1,736.7,906.9,772.4,838.6,536.3,1126.6,1809.3,1091.6,1281.4
SAGDP2-4,25000,25,MA,Massachusetts,Millions of current dollars,6,292.8,212.4,207.7,236.5,206.2,229.4,230,276.8,252.4,269.8,275.1,336.8,285.2,299.9,322,349.4,353.2,285.4,265.8,209.3,236.2,242.9,294.2,244.3,288.6,530.4,320.8,321.7
SAGDP2-4,26000,26,MI,Michigan,Millions of current dollars,6,1486.4,1409.8,1442.1,1299,1331.1,1420.4,1517.2,2172.2,1918.8,2208.5,2361.1,2416,1861.4,2438.2,3764.5,2865.9,3517.2,2914.8,2659.8,2242.9,2546.2,2578,2194.5,2751.1,4328.3,5346.9,5360.2,4642.8
SAGDP2-4,27000,27,MN,Minnesota,Millions of current dollars,6,2553.1,2668.8,1976,2125.6,1999.5,2424.7,3042.7,3989.6,3907.2,4212.2,4575.1,6143.1,4184.9,5092.7,6603,8378.9,8370.4,6891.8,5848.9,4640.8,5215.6,4911.9,3575,4712.7,7847.2,11588.7,8501.7,8549.3
SAGDP2-4,28000,28,MS,Mississippi,Millions of current dollars,6,1407.2,1280.2,1133.6,1000.4,1249.8,854.7,1368.4,2145.5,1730.3,1051.1,1439,1259,1227.8,1537.7,1320.2,1412.4,2758.2,2234.5,1596.2,1323.3,2005.2,1815.9,1429.6,1012.6,2291.3,3115.9,2469,3085.2
SAGDP2-4,29000,29,MO,Missouri,Millions of current dollars,6,1974,1382.8,880.2,1306.3,1341.6,1274,1868.1,3383.6,2263.6,2408.9,2676.6,3316.2,2872.9,2804.8,3703.3,3004.5,4461,4804.4,2781.3,2936.5,3001.3,2577.7,2621.3,2818.1,4369,6510.3,5980.5,5524.8
SAGDP2-4,30000,30,MT,Montana,Millions of current dollars,6,675.8,621.6,581.2,496.9,558.5,598.9,708.7,1043.2,1032,731.4,1075.3,1196.5,1034.8,1253.8,1445,1623.5,1904.4,1786.6,1719.3,1517.4,1098.2,1442.2,1567.3,1404.8,1098.8,2549,2543.5,1945.8
SAGDP2-4,31000,31,NE,Nebraska,Millions of current dollars,6,3209.9,2700.1,2037.8,1989.5,2390.3,2149.6,3935.9,4266.4,3960,3172.8,4781.3,5162.8,4707.4,5312.1,9185.2,7268.9,9787.2,8298.8,7620,6554.4,5156.6,5462.8,6102.6,5998.8,10041.4,9764.2,11692.9,9215.8
SAGDP2-4,32000,32,NV,Nevada,Millions of current dollars,6,137.4,160,150.9,180.7,186.6,154,166,218.5,223.4,230.1,193,253.8,222.9,249.3,330.7,253.2,257.3,342.8,267.4,213.8,246.3,243.6,304.4,260.1,378.4,485.8,354.4,369.1
SAGDP2-4,33000,33,NH,New Hampshire,Millions of current dollars,6,76.1,78.2,81.7,82.4,80,76.8,86.4,107.6,97.6,92.5,98.8,124.7,93.7,102,112.8,137.9,166.2,146.1,150.6,124.3,133.2,124.2,121.4,105.6,108.6,225.2,134.9,119
SAGDP2-4,34000,34,NJ,New Jersey,Millions of current dollars,6,432.5,441.2,390.8,495.3,435.2,458.5,501.8,570.5,576.2,647.2,669.7,586.7,559.8,562.5,641.3,635.5,663.2,600,658,619.8,622.1,591,762.9,702.9,906.1,1252.9,949.4,962.5
SAGDP2-4,35000,35,NM,New Mexico,Millions of current dollars,6,792.2,789.4,826.7,745.7,939,726.8,767.9,1148.9,1121,898.1,1204.8,1069.5,736.1,1180.8,1445.3,1291.7,1300.6,1463.4,1167.8,1241.1,1260.9,1177.3,1194.2,1000.4,1175.9,1953.9,1595.6,1496.8
SAGDP2-4,36000,36,NY,New York,Millions of current dollars,6,1121.9,1335.7,1358,1377,1558.8,1282.1,1442.6,1862.6,1799.5,1713,2172.5,2375.8,1706.7,2281.4,2761,2531.6,3002,2981.7,2227.2,2025.8,2370.2,2129,2467.6,2241.2,3201.1,4676.4,3195.1,3360.5
SAGDP2-4,37000,37,NC,North Carolina,Millions of current dollars,6,3789,2913.4,2542.9,3452.7,3611.9,2061.5,2352.2,3679.8,3593.9,3353.6,3276.4,3273,3195.2,3365.2,3080,3795,4424.4,4703.8,4103.9,3506.2,4184.8,3198.2,2869.7,2188,4837.1,7152.9,5198.5,5898.5
SAGDP2-4,38000,38,ND,North Dakota,Millions of current dollars,6,976.9,1334.3,771.8,926.6,860,1109.6,1747.7,1523.3,1373.1,1458.4,2453.7,3138.1,2466.2,2609.9,2901.7,4814.9,3415.2,2805.7,2435.2,2605.6,2759.4,2996.1,2423.7,2901.1,4138.7,6804.4,5702.7,4865.2
SAGDP2-4,39000,39,OH,Ohio,Millions of current dollars,6,2538.2,2046.2,1373.6,1784.9,1682.4,1539.7,1771.2,2599,2028.5,2112.6,2494.3,2447,2707.7,2680.6,4092.7,3399.2,4689.5,3928.3,2627.2,2303.4,3053.8,3545.7,2344.7,3218.6,5364.7,6122,6517.5,5565.6
SAGDP2-4,40000,40,OK,Oklahoma,Millions of current dollars,6,1387,1131.6,1273.1,1452.3,1354.8,1584.8,1647.5,2315.4,2179.1,1637.8,1699.3,1863.2,1129.9,1863.8,2503,2850.5,2852,2864.3,2876.9,2218.8,2541.8,2518.2,2294.5,1571.2,2875.7,3503.4,3847.4,3722.6
SAGDP2-4,41000,41,OR,Oregon,Millions of current dollars,6,1727.4,1520.5,1491.7,1553.7,1558.5,1567.8,1836.1,2149.4,2048.3,2301.9,2233.2,2189.6,1897.2,1795.2,2175.6,2266.7,2539.1,2483.9,2486.8,2561.4,2202.8,2349.8,2167,2158.7,2720.7,3701.8,3315.9,3111.8
SAGDP2-4,42000,42,PA,Pennsylvania,Millions of current dollars,6,1734.5,1856.7,1724.9,2018.9,1970.3,1580.3,2109.4,2710.5,2499.2,2367.1,2662,2489.1,1986.2,2407.5,3007.3,3131.8,3550.3,3868.5,2943.7,2212.4,2834.7,2463.8,2652.7,2148.5,3421.5,5168.7,3564.4,3790.8
SAGDP2-4,44000,44,RI,Rhode Island,Millions of current dollars,6,28.1,26.7,26,27.3,29.8,33.9,36.9,43.4,39.6,39.7,35.5,50.8,45.2,47.4,47.6,44.1,45.7,40.9,45,34.7,41.4,38.4,36.2,39.4,56.9,85.5,68.2,75
SAGDP2-4,45000,45,SC,South Carolina,Millions of current dollars,6,744.5,585.3,577.1,710.5,821.2,468.5,807.8,1041.6,853.3,759.4,618.7,734.9,761.5,823.9,737.4,798.9,1080.3,713.9,649.8,618.8,733.7,643.3,574.6,505.4,987.6,1353.1,978.3,1331.3
SAGDP2-4,46000,46,SD,South Dakota,Millions of current dollars,6,1700.4,1642.2,1322.3,1518.3,1392,1067.8,1888.1,2562.7,1832.6,1341.9,2577.8,3176.5,2774.4,2657.6,4738.3,4118,5111.6,4181.8,3654.8,3060.1,3112.8,3513.1,3055.1,3515.4,5430.8,7184.2,7216.9,5928.7
SAGDP2-4,47000,47,TN,Tennessee,Millions of current dollars,6,964.2,778.4,562.1,779.5,853.8,653.7,874,1127.6,1009.7,999.8,644.9,1067.9,1108.2,990.9,1455.4,1103.6,1935.8,1476.9,1377.1,999.1,1109.5,914.4,1045.9,829.2,1830,2192.2,1937.8,1965.2
SAGDP2-4,48000,48,TX,Texas,Millions of current dollars,6,5508.4,4908.5,5503,5210.5,5316.2,5959.8,7389.7,8654.4,7150.1,5928.4,6887.5,4957.8,4091.8,7516,6979.5,6696.1,8924.2,8786.5,10278.5,7184.4,8160.5,7612.5,6701.5,6315,10318.7,15051.7,16445.3,14942.9
SAGDP2-4,49000,49,UT,Utah,Millions of current dollars,6,397.8,422.2,419.5,401.3,497.2,374.9,412,567.5,520.4,408.9,469.2,465.8,303.5,498.2,705,646.8,893.1,950.1,904.4,718.3,762.9,782.9,821,761.6,956.5,1498.7,1177.1,1181.5
SAGDP2-4,50000,50,VT,Vermont,Millions of current dollars,6,208.2,231.5,231.6,232.1,247.2,188.9,222.2,300,302.9,232.7,347.1,360.5,229,311.9,408,376.1,433.8,478.1,347.6,316.9,340.4,302.2,371.8,299.9,380.4,678.6,400.7,452
SAGDP2-4,51000,51,VA,Virginia,Millions of current dollars,6,941,920.5,783.7,992.4,926.1,780.4,767.1,1265.5,1208,1009.9,1014.3,1064.5,1030.7,1038.2,1411.2,1295.8,1531.1,1479.9,1309.7,1079.6,1327.5,1174.2,1167.2,818,1549.8,2776.6,1605.6,1636.6
SAGDP2-4,53000,53,WA,Washington,Millions of current dollars,6,2598.9,2586.4,2284.8,2600.1,2438.1,2588.1,3347.3,3515.2,3161.2,3275,4095.1,3645.9,3497,3708.4,5006.1,5049.6,5014.6,4621.9,5529.2,4851.5,4826,4937.6,5018,4743.7,5199.7,6568.6,5502.1,5732.8
SAGDP2-4,54000,54,WV,West Virginia,Millions of current dollars,6,103.2,106.2,81.5,109.9,128.3,74.7,96.1,157.2,149,119.2,90.2,128.7,120,134.8,193.7,156.7,224.8,224.1,203.5,177,246.7,216.4,216.2,148.5,246.9,537.5,330.3,424.1
SAGDP2-4,55000,55,WI,Wisconsin,Millions of current dollars,6,2428.6,2658.6,2375,2027.5,2559,2383.2,2753.9,3551.4,3050.7,2961.8,4006.7,3392.7,2418.5,3358.6,4766.3,4508.1,5081.6,5189.5,4788.1,3926.8,4195.2,4165,3890.2,4205.9,5523.2,7159.3,5970.9,6359.6
SAGDP2-4,56000,56,WY,Wyoming,Millions of current dollars,6,384.9,280.2,336.2,318.8,362.4,256,364.6,401.6,385,357.5,303.3,400.2,369.2,434.1,719,500.1,644.9,671.8,627.6,555.9,547.5,598.8,579.4,492.4,612.4,933.3,938.5,668.8